Name,ScopeViewControl,,,,,,,,,
File,D:\UserProjects\Tuomo\Filter1\FiltScope\Scope YT Project_1.svd,,,,,,,,,
StartRecord,1.31696E+17,30. huhtikuuta 2018,15:07:08,,,,,,,
EndRecord,1.31696E+17,30. huhtikuuta 2018,15:07:31,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,input_ch1S0,input_ch1S1,input_ch1S2,input_ch1S3,input_ch1S4,output_ch1S0,output_ch1S1,output_ch1S2,output_ch1S3,output_ch1S4
NetId,169.254.50.18.1.1,169.254.50.18.1.1,169.254.50.18.1.1,169.254.50.18.1.1,169.254.50.18.1.1,169.254.50.18.1.1,169.254.50.18.1.1,169.254.50.18.1.1,169.254.50.18.1.1,169.254.50.18.1.1
Port,851,851,851,851,851,851,851,851,851,851
SampleTime[ms],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SymbolBased,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SymbolName,Inputs.input_ch1S0,Inputs.input_ch1S1,Inputs.input_ch1S2,Inputs.input_ch1S3,Inputs.input_ch1S4,Outputs.output_ch1S0,Outputs.output_ch1S1,Outputs.output_ch1S2,Outputs.output_ch1S3,Outputs.output_ch1S4
SymbolComment,inputsch1 : INPUTunion;,,,,,inputsch1 : INPUTunion;,,,,
IndexGroup,61472,61472,61472,61472,61472,61488,61488,61488,61488,61488
IndexOffset,528076,528078,528080,528082,528084,528096,528098,528100,528102,528104
Data-Type,INT16,INT16,INT16,INT16,INT16,INT16,INT16,INT16,INT16,INT16
VariableSize,2,2,2,2,2,2,2,2,2,2
Offset,0,0,0,0,0,0,0,0,0,0
ScaleFactor,1,1,1,1,1,1,1,1,1,1
BitMask,0xffffffffffffffff,0xffffffffffffffff,0xffffffffffffffff,0xffffffffffffffff,0xffffffffffffffff,0xffffffffffffffff,0xffffffffffffffff,0xffffffffffffffff,0xffffffffffffffff,0xffffffffffffffff
,,,,,,,,,,
1,-2571,-2300,-1960,-1634,-1503,532,532,532,532,532
2.1,4570,4771,4868,4898,4899,-6213,-6213,-6213,-6213,-6213
3.2,6250,6360,6324,6197,6123,-6899,-6899,-6899,-6899,-6899
4.3,5855,5906,5960,5962,5884,-249,-249,-249,-249,-249
5.4,3930,4024,4146,4229,4203,5491,5491,5491,5491,5491
6.5,-458,-635,-826,-1027,-1214,6069,6069,6069,6069,6069
7.6,-9649,-9667,-9742,-9950,-10164,5060,5060,5060,5060,5060
